Program,Runtime,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
2mm51_main_mlir,13.995813,55818576423,70209530482,2172182432,1386607,5649571755,10813102,18508,5667530141,10774571,26574575194,2255152162,7679889908,8309578,<not supported>,30632282,<not supported>,8375502,<not supported>,<not supported>,2166695170,717235,4209695,1424301,1351991,26713294406,2195199730,7697392633,2332752,<not supported>,<not supported>,203269,1245233
2mm52_main_mlir,14.040808,56007034727,70383326118,2184177548,1653390,5639852525,10608500,18508,5672006620,10844224,26475246413,2245584769,7658851351,6225339,<not supported>,30516007,<not supported>,9904280,<not supported>,<not supported>,2164832061,1036598,4405037,726364,3875605,26622309130,2184401526,7675770260,2256112,<not supported>,<not supported>,33753,1227570
2mm53_main_mlir,13.992917,55728717017,70221918408,2171567907,1667247,5632063673,10683664,18509,5635647037,10620123,26506101345,2249545892,7668154122,5689366,<not supported>,30593397,<not supported>,8134465,<not supported>,<not supported>,2169629694,947980,3397821,131930,2905184,26617597640,2184595982,7676335568,2329475,<not supported>,<not supported>,36676,4319024
2mm54_main_mlir,14.081669,55985551666,70323817312,2173775778,1292734,5662177738,10682321,18507,5647863495,10491793,26538385650,2263055092,7663784561,3859638,<not supported>,31437212,<not supported>,8023926,<not supported>,<not supported>,2176317300,912597,4832170,975384,3887319,26566303465,2175402248,7685188314,2329971,<not supported>,<not supported>,39490,1262674
2mm55_main_mlir,13.965592,55767516420,70247428482,2172647664,1485875,5615118120,10678652,18510,5635242683,10687457,26570898427,2252431983,7686456099,6438832,<not supported>,28613747,<not supported>,10850923,<not supported>,<not supported>,2147584520,897564,2963706,130150,1868277,26539118772,2186038047,7696328415,2271305,<not supported>,<not supported>,284730,3557826
2mm56_main_mlir,14.058315,55998699814,70141287519,2177833939,2060401,5638201777,10654246,18509,5642350147,10782590,26507033288,2226092088,7695250985,5180851,<not supported>,27325230,<not supported>,9085887,<not supported>,<not supported>,2155602594,1245280,2479436,162736,347350,26589963685,2190377486,7660036608,2231946,<not supported>,<not supported>,189894,6734913
2mm57_main_mlir,14.120829,56118682963,70240329462,2172912004,1648541,5695015759,11148647,18509,5688859673,10933510,26533279501,2243678085,7644057547,3431424,<not supported>,30541830,<not supported>,10613086,<not supported>,<not supported>,2162869297,1081728,4066565,412823,3630417,26557960178,2186606092,7671531003,2233595,<not supported>,<not supported>,197394,1429734
2mm58_main_mlir,14.015021,55772392211,70316553587,2169372683,1466577,5652786762,10756891,18507,5653374708,10749998,26437293093,2240235992,7695338600,3256066,<not supported>,27963090,<not supported>,8291726,<not supported>,<not supported>,2170416181,899266,4038024,409111,3597131,26634640483,2194745013,7670591838,2240774,<not supported>,<not supported>,35991,1219934
2mm59_main_mlir,13.989182,55809494997,70162010883,2166261423,1909396,5632111892,10639833,18511,5632233468,10666477,26551673845,2259082128,7671975808,7563447,<not supported>,28445833,<not supported>,10287609,<not supported>,<not supported>,2167113292,892746,2893438,289385,719229,26522987830,2180847240,7691646683,2394214,<not supported>,<not supported>,287306,1352178
2mm60_main_mlir,13.993652,55451214834,69982447784,2161736098,1638187,5651431032,10778906,18508,5660282610,10595880,26601397429,2261889879,7674891639,4713816,<not supported>,30292955,<not supported>,8063944,<not supported>,<not supported>,2175643146,838284,3244262,166764,2679856,26575884068,2180823878,7689591280,2334786,<not supported>,<not supported>,230976,1262629
2mm61_main_mlir,13.952556,56471731160,70425936254,2180488368,1447169,5631663258,12670117,18509,5656352352,12832053,26497187357,2246937245,7679387408,7068825,<not supported>,30373559,<not supported>,20904852,<not supported>,<not supported>,2144407126,843169,3967163,195978,2772143,26561779048,2190136922,7706366888,2357791,<not supported>,<not supported>,40349,12278515
2mm62_main_mlir,13.961910,55664968765,70295556005,2173327777,2049177,5633558948,10325931,18508,5605255330,10196609,26516548011,2216754522,7689576141,6828496,<not supported>,18200994,<not supported>,8439997,<not supported>,<not supported>,2163581624,972797,2394171,169651,776165,26531757913,2187278450,7694801336,3881877,<not supported>,<not supported>,32479,1263491
2mm63_main_mlir,13.974532,55806883671,70332256429,2171724454,1532854,5633370831,10559370,18509,5638754252,10429247,26531522730,2250539419,7669109844,3491208,<not supported>,29585181,<not supported>,10363848,<not supported>,<not supported>,2156086295,919034,3840138,124932,2767238,26419151669,2173434225,7663683285,2292680,<not supported>,<not supported>,37884,1223062
2mm64_main_mlir,14.005002,55681962819,70284351250,2169953263,2024083,5669493442,11006160,18510,5655991655,10964279,26430897053,2247522104,7660539369,7263217,<not supported>,29647904,<not supported>,7972845,<not supported>,<not supported>,2174599979,935456,2232228,138328,123067,26543387272,2183489452,7688698528,2317923,<not supported>,<not supported>,38919,1268633
2mm65_main_mlir,14.132719,56097330193,70141017511,2174115608,1517329,5642553042,10804295,18509,5684306353,10992228,26517091198,2259306560,7683565529,5704002,<not supported>,31358285,<not supported>,10283956,<not supported>,<not supported>,2160278115,911810,4080387,128626,3195578,26682100821,2202742608,7697040856,2233211,<not supported>,<not supported>,57156,1209777
2mm66_main_mlir,14.033647,55925547234,70419172313,2191156613,1387101,5624073059,10503300,18510,5642081022,10694897,26409765863,2248431746,7688964177,5739041,<not supported>,29315814,<not supported>,8269974,<not supported>,<not supported>,2162058377,841772,4879735,711591,3773800,26640148358,2184552751,7688571945,2222901,<not supported>,<not supported>,41731,1184437
2mm67_main_mlir,14.083911,55838828552,70188961570,2159479776,1652419,5657008860,10599736,18508,5652269726,10388632,26564249064,2253405187,7652402737,3505649,<not supported>,30066457,<not supported>,7955784,<not supported>,<not supported>,2166476224,913134,3617723,78086,2957426,26575425595,2185437255,7695095493,2326342,<not supported>,<not supported>,38651,1278859
2mm68_main_mlir,13.918677,55471490923,70277954785,2164424604,1446202,5655028974,10853291,18509,5664064929,10847045,26486618234,2224367852,7685662358,7426855,<not supported>,21589918,<not supported>,8298129,<not supported>,<not supported>,2153226968,1013612,4243051,238922,3342388,26625445708,2194933845,7664744899,2230951,<not supported>,<not supported>,31758,1212684
2mm69_main_mlir,14.044719,55870105413,70319651585,2184746503,1555558,5612033646,10360721,18506,5627340735,10651939,26469697544,2201858617,7692144332,3322767,<not supported>,16896191,<not supported>,8952332,<not supported>,<not supported>,2160180472,963526,4377832,612076,3758563,26496362576,2178984201,7700608746,2297345,<not supported>,<not supported>,100584,3522729
2mm70_main_mlir,13.971282,55709450717,70249534850,2170946449,1740547,5643613704,11636029,18509,5657247317,11651790,26555756713,2234977744,7677607069,3964522,<not supported>,23139196,<not supported>,13168509,<not supported>,<not supported>,2159843676,917829,4128665,133860,3168952,26517576888,2187044932,7675781487,2309892,<not supported>,<not supported>,32381,2336341
2mm71_main_mlir,14.003631,56046905164,70336938965,2164576371,2510629,5615029497,10848624,18510,5619278949,10772752,26465460688,2226237184,7690865585,6092172,<not supported>,24007871,<not supported>,10761698,<not supported>,<not supported>,2160144332,1377047,2943437,127680,2011128,26640440875,2195361111,7702282704,3623890,<not supported>,<not supported>,539162,1424424
2mm72_main_mlir,14.005390,55618502818,70171777182,2169442083,1683251,5666901187,10952895,18508,5672492101,10955941,26517391300,2250265023,7693578962,7435310,<not supported>,30115729,<not supported>,8155898,<not supported>,<not supported>,2172718978,1014130,2275153,148149,1186415,26513304801,2184892360,7673806119,2308448,<not supported>,<not supported>,181091,1280505
2mm73_main_mlir,13.985368,55996725832,70332164852,2167023301,1601230,5635975039,10987548,18511,5681078546,11045162,26627776315,2250662788,7670829063,8143937,<not supported>,29309789,<not supported>,12009277,<not supported>,<not supported>,2146292223,972592,4148329,213510,3273577,26649936055,2194753165,7678866472,2297773,<not supported>,<not supported>,269985,1298339
2mm74_main_mlir,13.982931,55645400015,70187577925,2166721761,2405847,5658124586,10641273,18508,5642113479,10403586,26569883192,2247579148,7676583769,6658726,<not supported>,20625807,<not supported>,8393282,<not supported>,<not supported>,2171775388,894214,2268045,59008,229020,26472060554,2177820507,7671457922,2370199,<not supported>,<not supported>,324786,1310489
2mm75_main_mlir,13.947544,55586415077,70211978972,2176580001,1728412,5615052729,10469037,18508,5640662385,10645895,26475532935,2245646333,7717820996,5950145,<not supported>,27042191,<not supported>,8575081,<not supported>,<not supported>,2165382635,1143693,3629728,130363,2457528,26501741822,2187272149,7659861728,2222997,<not supported>,<not supported>,32134,1200605
